"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,61639,"10025","NY","New York","New York","New York",0,1237700,-0.0167619955513187,-0.039276566017232,0.087609841827768,0.0989764036515273,0.048715317974547,"2017-08","2017-Q3",1296500,-0.0453528731199383,"2017-06"
2017-12-31,84654,"60657","IL","Chicago","Cook","Chicago",1,321600,-0.00309981401115933,-0.00924214417744917,0.00973312401883831,0.0363650343554041,-0.000279420847822953,"2017-06","2017-Q2",325100,-0.0107659181790218,"2017-04"
2017-12-31,84616,"60614","IL","Chicago","Cook","Chicago",2,393600,-0.00606060606060606,-0.0324483775811209,-0.0536186583313296,0.0446329564348484,-0.000708612543236509,"2016-12","2016-Q4",415900,-0.0536186583313296,"2016-02"
2017-12-31,93144,"79936","TX","El Paso","El Paso","El Paso",3,114600,0,-0.00174216027874564,0,0.000874891977429737,-0.0133611947458224,"2007-12","2007-Q4",131100,-0.125858123569794,"2006-08"
2017-12-31,84640,"60640","IL","Chicago","Cook","Chicago",4,209800,0.00334768053562889,-0.0014278914802475,0.047952047952048,0.0503629168779498,-0.0106456675981607,"2007-02","2007-Q1",238400,-0.11996644295302,"2003-08"
2017-12-31,61807,"10467","NY","New York","Bronx","New York",5,385400,0.00705513457015939,0.0255455029270889,0.0774391948560246,0.0605849375085505,0.00759932853434653,"2006-10","2006-Q4",392900,-0.0190888266734538,"2006-09"
2017-12-31,91733,"77084","TX","Houston","Harris","Houston",6,162400,-0.001230012300123,-0.000615384615384615,0.0213836477987421,0.0822154770007346,0.0232921239214943,"2017-10","2017-Q4",162900,-0.00306936771025169,"2017-09"
2017-12-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",7,1193700,0.00768191794698632,0.0308290155440415,0.0600301927004706,0.0881334713004831,0.0408317236793962,"2017-12","2017-Q4",1193700,0,"2017-12"
2017-12-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",8,321400,-0.00124300807955252,0.00783944810285356,0.056194544857049,0.0976603956518323,0.0439247253302628,"2017-11","2017-Q4",321800,-0.00124300807955252,"2017-11"
2017-12-31,62037,"11226","NY","New York","Kings","New York",9,690900,0.017226148409894,0.0525594149908592,0.133924175283112,0.130055960823374,0.0455865967494502,"2017-12","2017-Q4",690900,0,"2017-12"
